Altitude,Cumulative Distance,Cumulative Flight Time,Date,Distance,ES,Flight Duration (hr),Flight Time,Gender,Glider,GliderClass,Height Difference,Height Gain,Height Over Start,IGC File name,Id,Landing Time,Launch Time,Made Goal,Max Height,Max Vario,Min Vario,Pilot,SS,Score,Start Height,Start Time (UTC),Task,Task Type,Time,Timed Distance,km/h,cumulative_score,Avg Speed (km/hr),Speed on course (km/hr)
,175.3,4.6817,07.08.2022,175.3,16:42:56,4.6817,04:40:54,M,Zeno2 Ozone,D,-163,13599,2313,Austin Kasserman 2022-08-07-XFH-000-01.IGC,9.0,21:58:56,12:18:02,True,2415,4.4,-5.0,Austin Kasserman,12:40:36,1000.0,102,17:18:02,1,Downwind,4.0389,170.3,42.9,1000.0,37.44366362646048,42.16494590111169
,352.02,9.7864,08.08.2022,176.72,17:01:27,5.1047,05:06:17,,Zeno2 Ozone,D,-273,14721,2605,Austin Kasserman 2022-08-08-XFH-000-01.IGC,9.0,22:12:30,12:06:13,True,2693,5.2,-6.6,Austin Kasserman,12:32:30,1000.0,88,17:06:13,2,Downwind,4.4825,171.72,39.0,2000.0,34.61907653730875,38.30897936419409
,483.91999999999996,15.5322,09.08.2022,131.9,17:37:55,5.7458,05:44:45,,Zeno2 Ozone,D,-8,16908,2233,Austin Kasserman 2022-08-09-XFH-000-01.IGC,9.0,22:49:09,12:04:24,True,2313,5.2,-4.0,Austin Kasserman,12:17:41,1000.0,80,17:04:24,3,Rectangle,5.3372,126.9,24.3,3000.0,22.95589822130948,23.776512028779134
1115.0,503.21999999999997,17.1855,10.08.2022,19.3,,1.6533,01:39:12,,Zeno2 Ozone,D,-89,5052,1992,Austin Kasserman 2022-08-10-XFH-000-01.IGC,9.0,19:49:04,13:09:52,False,2077,4.0,-4.2,Austin Kasserman,12:00:00,163.0,85,18:09:52,4,Out-and-Back(stopped),2.8177777777777777,14.3,,3163.0,11.673622452065567,5.074921135646688
,560.67,19.6886,11.08.2022,57.45,,2.5031,02:30:11,,Zeno2 Ozone,D,-124,7900,2040,Austin Kasserman 2022-08-11-XFH-000-03.IGC,9.0,21:11:12,13:41:01,False,2119,7.0,-4.2,Austin Kasserman,14:11:49,416.0,79,18:41:01,5,Triangle,1.9897222222222222,52.45,,3579.0,22.951540090288045,26.360463492949883
,647.81,22.6169,12.08.2022,87.14,14:19:05,2.9283,02:55:42,,Zeno2 Ozone,D,-79,7494,1858,Austin Kasserman 2022-08-12-XFH-000-01.IGC,9.0,19:41:41,11:45:59,True,1937,5.2,-3.8,Austin Kasserman,12:21:24,791.0,79,16:45:59,6,Downwind,1.9614,82.14,43.4,4370.0,29.757879998634017,41.87825022942796
,706.9799999999999,23.9769,13.08.2022,59.17,14:09:52,1.36,01:21:36,,Zeno2 Ozone,D,-56,4212,1817,Austin Kasserman 2022-08-13-XFH-000-01.IGC,9.0,19:21:17,12:59:41,True,1895,5.2,-4.2,Austin Kasserman,13:09:08,654.0,78,17:59:41,7,Downwind,1.0122,54.17,56.5,5024.0,43.50735294117647,53.517091483896465
,175.3,4.8406,07.08.2022,175.3,17:23:50,4.8406,04:50:26,M,NKN,D,-152,14037,2157,Andrew Dahl 2022-08-07_17_47_22.igc,23.0,22:38:11,12:47:45,True,2257,6.4,-4.8,Andrew Dahl,13:10:54,911.0,100,17:47:45,1,Downwind,4.2156,170.3,41.1,911.0,36.21451886129819,40.39757092703292
,352.02,10.6262,08.08.2022,176.72,17:05:23,5.7856,05:47:08,,NKN,D,-246,16139,2579,Andrew Dahl 2022-08-08_16_53_57.igc,23.0,22:41:15,11:54:07,True,2657,6.4,-4.8,Andrew Dahl,12:31:02,947.0,78,16:54:07,2,Downwind,4.5725,171.72,38.2,1858.0,30.544800884955755,37.55494805904866
,413.4,13.1965,09.08.2022,61.38,,2.5703,02:34:13,,NKN,D,-48,7356,1852,Andrew Dahl 2022-08-09_17_21_53.igc,23.0,19:56:23,12:22:10,False,1932,6.0,-4.6,Andrew Dahl,12:54:57,397.0,80,17:22:10,3,Rectangle,2.023888888888889,56.38,,2255.0,23.880480877718554,27.85726049958825
1380.0,430.67999999999995,15.3587,10.08.2022,17.28,,2.1622,02:09:44,,NKN,D,-75,5902,1839,Andrew Dahl 2022-08-10_17_41_41.igc,23.0,19:51:39,12:41:55,False,1923,6.2,-5.8,Andrew Dahl,12:00:00,157.0,84,17:41:55,4,Out-and-Back(stopped),2.8608333333333333,12.280000000000001,,2412.0,7.991860142447508,4.292455578211477
,512.5799999999999,20.3165,11.08.2022,81.9,16:57:01,4.9578,04:57:28,,NKN,D,-7,13221,2087,Andrew Dahl 2022-08-11_17_13_16.igc,23.0,22:10:56,12:13:28,True,2167,4.8,-5.0,Andrew Dahl,12:48:39,739.0,80,17:13:28,5,Triangle,4.1394,76.9,19.3,3151.0,16.519423938037036,18.577571628738465
,599.7199999999999,22.5268,12.08.2022,87.14,16:46:34,2.2103,02:12:37,,NKN,D,-78,6207,1895,Andrew Dahl 2022-08-12_19_46_15.igc,23.0,21:59:05,14:46:28,True,1977,5.2,-4.4,Andrew Dahl,15:02:04,950.0,82,19:46:28,6,Downwind,1.7417,82.14,48.9,4101.0,39.424512509614075,47.16081988861457
,616.6099999999999,23.113500000000002,13.08.2022,16.89,,,00:35:12,,NKN,D,-52,1589,1573,Andrew Dahl 2022-08-13_17_53_56.igc,23.0,18:29:24,12:54:12,False,1655,5.0,-4.0,Andrew Dahl,13:09:00,89.0,82,17:54:12,7,Downwind,0.34,11.89,,4190.0,0,34.970588235294116
,175.3,4.8342,07.08.2022,175.3,17:42:46,4.8342,04:50:03,M,OZONE Delta 4,C,-166,13823,2163,David Siljeg 2500843.igc,27.0,22:55:38,13:05:35,True,2254,6.0,-9.2,David Siljeg,13:26:39,894.0,91,18:05:35,1,Downwind,4.2686,170.3,40.6,894.0,36.26246328244591,39.89598463196364
,204.72000000000003,6.2861,08.08.2022,29.42,,1.4519,01:27:07,,OZONE Delta 4,C,-15,4276,1972,David Siljeg 2500965.igc,27.0,19:38:52,13:11:45,False,2059,7.2,-5.2,David Siljeg,13:41:18,95.0,87,18:11:45,2,Downwind,0.9594444444444444,24.42,,989.0,20.26310351952614,25.452229299363058
,271.87,9.6197,09.08.2022,67.15,,3.3336,03:20:01,,OZONE Delta 4,C,-5,10365,2164,David _iljeg 2022-08-09-XCT-DSI-04.igc,27.0,20:53:00,12:32:59,False,2252,0.0,0.0,David Siljeg,12:55:14,434.0,88,17:32:59,3,Rectangle,2.9627777777777777,62.150000000000006,,1423.0,20.143388528917686,20.976936058503657
0.0,276.87,10.4483,10.08.2022,5.0,,,00:49:43,,OZONE Delta 4,C,-18,2810,1737,David Siljeg 2501207.igc,27.0,19:51:45,14:02:02,False,1824,5.6,-35.2,David Siljeg,,34.0,87,19:02:02,4,Out-and-Back(stopped),0,0.0,,1457.0,0,0.0
,330.77,14.4958,11.08.2022,53.9,,4.0475,04:02:51,,OZONE Delta 4,C,-144,11784,2034,David Siljeg 2501445.igc,27.0,21:01:18,11:58:27,False,2127,7.8,-6.4,David Siljeg,12:31:52,390.0,93,16:58:27,5,Triangle,3.4905555555555554,48.9,,1847.0,13.316862260654723,14.00923125895273
,417.90999999999997,17.45,12.08.2022,87.14,14:19:22,2.9542,02:57:15,,OZONE Delta 4,C,-77,8938,1780,David Siljeg 2501542.igc,27.0,19:32:55,11:35:40,True,1868,6.0,-6.4,David Siljeg,11:56:44,628.0,88,16:35:40,6,Downwind,2.3772,82.14,35.8,2475.0,29.496987340058222,34.5532559313478
,435.15,18.124399999999998,13.08.2022,17.24,,,00:40:28,,OZONE Delta 4,C,-337,2632,1525,David Siljeg 2501653.igc,27.0,19:28:13,13:47:45,False,1609,7.8,-5.0,David Siljeg,14:04:15,91.0,84,18:47:45,7,Downwind,0.39944444444444444,12.239999999999998,,2566.0,0,30.642559109874824
,175.3,5.0942,07.08.2022,175.3,17:20:35,5.0942,05:05:39,M,Ozone Zeolite GT,D,-162,15708,2436,Tyler Burns 2022-08-07-XFH-000-01.IGC,40.0,22:34:29,12:28:50,True,2527,6.2,-13.2,Tyler Burns,12:54:06,846.0,91,17:28:50,1,Downwind,4.4414,170.3,39.0,846.0,34.411683875780305,38.34376547935336
,352.02,11.4695,08.08.2022,176.72,17:31:36,6.3753,06:22:31,,Ozone Zeolite GT,D,-255,17976,2607,Tyler Burns 2022-08-08-XFH-000-01.IGC,40.0,22:39:28,11:16:57,True,2693,7.6,-5.8,Tyler Burns,12:25:28,810.0,86,16:16:57,2,Downwind,5.1022,171.72,34.2,1656.0,27.719479867614073,33.656069930618166
,479.21999999999997,18.2576,09.08.2022,127.2,,6.7881,06:47:17,,Ozone Zeolite GT,D,-11,20550,2377,Tyler Burns 2022-08-09-XFH-000-01.IGC,40.0,23:42:09,11:54:52,False,2458,6.4,-5.3,Tyler Burns,12:18:47,822.0,81,16:54:52,3,Rectangle,6.389444444444444,122.2,,2478.0,18.738675034251116,19.125293452743243
1745.0,515.5,21.0415,10.08.2022,36.28,,2.7839,02:47:02,,Ozone Zeolite GT,D,324,7472,1625,Tyler Burns 2022-08-10-XFH-000-01.IGC,40.0,19:50:57,12:03:55,False,2088,5.2,-5.0,Tyler Burns,12:00:00,298.0,463,17:03:55,4,Out-and-Back(stopped),2.8491666666666666,31.28,,2776.0,13.032077301627213,10.978648727698157
,597.4,25.9973,11.08.2022,81.9,17:03:09,4.9558,04:57:21,,Ozone Zeolite GT,D,4,14834,2044,Tyler Burns 2022-08-11-XFH-000-01.IGC,40.0,22:08:06,12:10:45,True,2126,6.2,-4.8,Tyler Burns,12:50:23,723.0,82,17:10:45,5,Triangle,4.2128,76.9,19.0,3499.0,16.526090641268816,18.253892897835172
,684.54,28.7515,12.08.2022,87.14,14:33:17,2.7542,02:45:15,,Ozone Zeolite GT,D,-54,8120,1798,Tyler Burns 2022-08-12-XFH-000-01.IGC,40.0,19:49:40,12:04:25,True,1876,5.4,-5.0,Tyler Burns,12:23:13,703.0,78,17:04:25,6,Downwind,2.1678,82.14,39.3,4202.0,31.638951419649988,37.89094934957099
,743.7099999999999,30.3015,13.08.2022,59.17,14:02:33,1.55,01:33:00,,Ozone Zeolite GT,D,-47,4915,1679,Tyler Burns 2022-08-13-XFH-000-01.IGC,40.0,19:09:23,12:36:23,True,1762,6.4,-5.4,Tyler Burns,12:54:07,568.0,83,17:36:23,7,Downwind,1.1406,54.17,50.1,4770.0,38.174193548387095,47.49254778186919
,175.3,5.0731,07.08.2022,175.3,17:32:23,5.0731,05:04:23,M,Air Design Volt 4,C,-740,14774,2246,Josh McVeigh 2022-08-07-XFH-000-01.IGC,21.0,22:37:56,12:33:33,True,2332,6.2,-4.4,Josh Mcveigh,12:52:49,795.0,86,17:33:33,1,Downwind,4.6594,170.3,37.2,795.0,34.55480869685203,36.54977035669829
,261.16,9.8534,09.08.2022,85.86,,4.7803,04:46:49,,Air Design Volt 4,C,-29,12364,2143,Josh McVeigh 2022-08-09-XFH-000-01.IGC,21.0,21:38:38,11:51:49,False,2228,6.4,-5.8,Josh Mcveigh,12:15:32,555.0,85,16:51:49,3,Rectangle,4.385,80.86,,1350.0,17.96121582327469,18.440136830102624
1642.0,272.52000000000004,11.174800000000001,10.08.2022,11.36,,1.3214,01:19:17,,Air Design Volt 4,C,-16,3358,2033,Josh McVeigh 2022-08-10-XFH-000-01.IGC,21.0,19:54:22,13:35:05,False,2153,142.0,-6.0,Josh Mcveigh,12:00:00,123.0,120,18:35:05,4,Out-and-Back(stopped),2.906111111111111,6.359999999999999,,1473.0,8.596942636597548,2.188491684190403
,329.98,15.223400000000002,11.08.2022,57.46,,4.0486,04:02:55,,Air Design Volt 4,C,-82,11022,1920,Josh McVeigh 2022-08-11-XFH-000-01.IGC,21.0,21:27:42,12:24:47,False,2013,5.2,-5.4,Josh Mcveigh,12:49:10,416.0,93,17:24:47,5,Triangle,3.6422222222222222,52.46,,1889.0,14.192560391246355,14.403294691885296
,344.84000000000003,15.911500000000002,12.08.2022,14.86,,,00:41:17,,Air Design Volt 4,C,-41,2114,1421,Josh McVeigh 2022-08-12-XFH-000-01.IGC,21.0,17:10:36,11:29:19,False,1500,5.2,-4.6,Josh Mcveigh,11:45:22,73.0,79,16:29:19,6,Downwind,0.42055555555555557,9.86,,1962.0,0,23.445178335535005
,404.01000000000005,17.8946,13.08.2022,59.17,13:21:36,1.9831,01:58:59,,Air Design Volt 4,C,-52,5571,1779,Josh McVeigh 2022-08-13-XFH-000-01.IGC,21.0,18:33:24,11:34:25,True,1863,5.4,-4.2,Josh Mcveigh,12:00:00,486.0,84,16:34:25,7,Downwind,1.36,54.17,42.0,2448.0,29.837123695224648,39.830882352941174
,175.3,5.3186,07.08.2022,175.3,16:52:04,5.3186,05:19:07,M,OZONE Zeno,D,-175,14667,2073,Max Montgomery 2022-08-07-XCT-MMO-01.igc,30.0,22:11:34,11:52:27,True,2162,7.4,-5.8,Max Montgomery,12:10:30,787.0,89,16:52:27,1,Downwind,4.6928,170.3,36.9,787.0,32.9598014515098,36.28963518581657
,194.63,6.6258,08.08.2022,19.33,,1.3072,01:18:26,,OZONE Zeno,D,-28,3281,1444,Max Montgomery 2022-08-08-XCT-MMO-01.igc,30.0,17:22:11,11:03:45,False,1530,8.0,-7.6,Max Montgomery,11:37:01,62.0,86,16:03:45,2,Downwind,0.7527777777777778,14.329999999999998,,849.0,14.787331701346389,19.036162361623614
,291.39,12.363299999999999,09.08.2022,96.76,,5.7375,05:44:15,,OZONE Zeno,D,-27,16055,2303,Max Montgomery 2022-08-09-XCT-MMO-01.igc,30.0,22:16:01,11:31:46,False,2395,5.6,-5.4,Max Montgomery,12:00:42,625.0,92,16:31:46,3,Rectangle,5.255277777777778,91.76,,1474.0,16.864488017429196,17.46054231196152
1725.0,327.06,16.3597,10.08.2022,35.67,,3.9964,03:59:47,,OZONE Zeno,D,-999,12296,2131,Max Montgomery 2022-08-10-XCT-MMO-01.igc,30.0,21:03:10,12:03:23,False,2220,8.2,-14.2,Max Montgomery,12:00:00,293.0,89,17:03:23,4,Out-and-Back(stopped),4.052777777777778,30.67,,1767.0,8.925532979681714,7.567649074708704
,385.09000000000003,20.9591,11.08.2022,58.03,,4.5994,04:35:58,,OZONE Zeno,D,-42,12032,2104,Max Montgomery 2022-08-11-XCT-MMO-01.igc,30.0,20:59:06,11:23:08,False,2184,6.6,-5.8,Max Montgomery,11:57:14,420.0,80,16:23:08,5,Triangle,4.0311111111111115,53.03,,2187.0,12.616863069095968,13.155181918412348
,472.23,24.1083,12.08.2022,87.14,15:50:19,3.1492,03:08:57,,OZONE Zeno,D,-1157,9040,1777,Max Montgomery 2022-08-12-XCT-MMO-01.igc,30.0,21:04:59,12:56:02,True,1861,6.4,-14.8,Max Montgomery,13:14:28,557.0,84,17:56:02,6,Downwind,2.5975,82.14,32.8,2744.0,27.670519497015114,31.62271414821944
,531.4,25.5244,13.08.2022,59.17,15:21:49,1.4161,01:24:58,,OZONE Zeno,D,-252,4892,2152,Max Montgomery 2022-08-13-XCT-MMO-02.igc,30.0,20:29:03,14:04:05,True,2236,7.6,-6.6,Max Montgomery,14:17:13,599.0,84,19:04:05,7,Downwind,1.0767,54.17,53.1,3343.0,41.7837723324624,50.31113587814619
,175.3,5.4747,07.08.2022,175.3,17:54:08,5.4747,05:28:29,M,Gin Camino,C,-167,15561,2039,Chandler Papas 2022-08-07-XNA-150644-02.igc,48.0,23:01:30,12:33:01,True,2131,5.4,-5.0,Chandler Papas,12:54:42,727.0,92,17:33:01,1,Downwind,4.9906,170.3,34.7,727.0,32.02001936179151,34.124153408407814
,344.17,12.0647,08.08.2022,168.87,,6.59,06:35:24,,Gin Camino,C,-258,17989,2419,Chandler Papas 2022-08-08-XNA-150644-04.igc,48.0,23:51:09,12:15:45,False,2501,7.8,-5.0,Chandler Papas,12:51:16,543.0,82,17:15:45,2,Downwind,5.998055555555555,163.87,,1270.0,25.625189681335357,27.320520539063587
,416.91,16.6314,09.08.2022,72.74,,4.5667,04:34:00,,Gin Camino,C,-8,12601,2515,Chandler Papas 2022-08-09-XNA-150644-03.igc,48.0,00:24:32,14:50:32,False,2598,5.8,-4.6,Chandler Papas,15:09:38,470.0,83,19:50:32,3,Rectangle,4.248333333333333,67.74,,1740.0,15.928350887949723,15.945076500588465
404.0,434.12,18.2078,10.08.2022,17.21,,1.5764,01:34:35,,Gin Camino,C,-56,4984,1635,Chandler Papas 2022-08-10-XNA-150644-04.igc,48.0,19:55:41,13:21:06,False,1721,6.2,-6.2,Chandler Papas,12:00:00,129.0,86,18:21:06,4,Out-and-Back(stopped),2.9280555555555554,12.21,,1869.0,10.917279878203502,4.170002846029789
,496.1,23.1145,11.08.2022,61.98,,4.9067,04:54:24,,Gin Camino,C,-56,13170,2163,Chandler Papas 2022-08-11-XNA-150644-02.igc,48.0,22:16:01,12:21:37,False,2243,6.2,-5.0,Chandler Papas,12:50:27,449.0,80,17:21:37,5,Triangle,4.426111111111111,56.98,,2318.0,12.631707665029449,12.87360361491151
,503.1,23.6653,12.08.2022,7.0,,,00:33:03,,Gin Camino,C,-12,1509,1448,Chandler Papas 2022-08-12-XNA-150644-03.igc,48.0,18:46:02,13:12:59,False,1530,5.8,-4.4,Chandler Papas,13:30:01,34.0,82,18:12:59,6,Downwind,0.26694444444444443,2.0,,2352.0,0,7.49219562955255
,532.6800000000001,23.877,13.08.2022,29.58,,,00:12:42,,Gin Camino,C,-1357,2420,1572,Chandler Papas 2022-08-13-XNA-150644-02.igc,48.0,18:07:33,12:54:51,False,1653,5.0,-1.8,Chandler Papas,13:09:03,156.0,81,17:54:51,7,Downwind,23.975,24.58,,2508.0,0,1.025234619395203
,175.3,5.5383,07.08.2022,175.3,17:31:03,5.5383,05:32:18,M,ADVANCE Omega XAlps 3,D,-880,15019,2307,Chris Lee 2022-08-07-XCT-CLE-01.igc,20.0,22:37:01,12:04:43,True,2390,6.2,-6.2,Chris Lee,12:27:46,715.0,83,17:04:43,1,Downwind,5.0547,170.3,34.3,715.0,31.6523120813246,33.6914159099452
,352.02,12.649999999999999,08.08.2022,176.72,18:14:16,7.1117,07:06:42,,ADVANCE Omega XAlps 3,D,-255,18576,2556,Chris Lee 2022-08-08-XCT-CLE-01.igc,20.0,23:40:16,11:33:34,True,2638,6.6,-5.2,Chris Lee,12:25:21,683.0,82,16:33:34,2,Downwind,5.8153,171.72,30.0,1398.0,24.849192176272904,29.529001083349097
,448.96,17.8803,09.08.2022,96.94,,5.2303,05:13:49,,ADVANCE Omega XAlps 3,D,-29,13517,2230,Chris Lee 2022-08-09-XCT-CLE-01.igc,20.0,22:14:26,12:00:37,False,2315,6.4,-5.4,Chris Lee,12:15:28,627.0,85,17:00:37,3,Rectangle,4.982777777777778,91.94,,2025.0,18.53430969542856,18.451555357341956
1419.0,459.96999999999997,19.502,10.08.2022,11.01,,1.6217,01:37:18,,ADVANCE Omega XAlps 3,D,-38,4600,2088,Chris Lee 2022-08-10-XCT-CLE-02.igc,20.0,19:52:27,13:15:09,False,2173,5.6,-5.8,Chris Lee,12:00:00,115.0,85,18:15:09,4,Out-and-Back(stopped),2.8741666666666665,6.01,,2140.0,6.789171856693593,2.091040881414903
,531.9399999999999,25.8628,11.08.2022,71.97,,6.3608,06:21:39,,ADVANCE Omega XAlps 3,D,-4,15846,2194,Chris Lee 2022-08-11-XCT-CLE-01.igc,20.0,22:57:15,11:35:36,False,2275,5.4,-5.0,Chris Lee,12:32:07,521.0,81,16:35:36,5,Triangle,5.418888888888889,66.97,,2661.0,11.314614513897622,12.358622103752307
,619.0799999999999,29.4089,12.08.2022,87.14,14:37:42,3.5461,03:32:46,,ADVANCE Omega XAlps 3,D,-82,8586,1875,Chris Lee 2022-08-12-XCT-CLE-01.igc,20.0,19:50:04,11:17:18,True,1954,6.2,-4.4,Chris Lee,12:23:44,679.0,79,16:17:18,6,Downwind,2.2328,82.14,38.1,3340.0,24.573475085304985,36.78788964528842
,678.2499999999999,32.0942,13.08.2022,59.17,14:53:40,2.6853,02:41:07,,ADVANCE Omega XAlps 3,D,-47,7881,1999,Chris Lee 2022-08-13-XCT-CLE-01.igc,20.0,20:25:04,12:43:57,True,2092,6.4,-5.0,Chris Lee,13:48:43,596.0,93,17:43:57,7,Downwind,1.0825,54.17,52.8,3936.0,22.034781961047184,50.04157043879908
,175.3,5.5481,07.08.2022,175.3,17:30:52,5.5481,05:32:53,M,GIN GLIDERS Puma,D,-157,13710,2055,Felix Figueroa 2022-08-07-XCT-FFI-01.igc,44.0,22:37:03,12:04:10,True,2140,5.4,-4.8,Felix Figueroa,12:26:02,710.0,85,17:04:10,1,Downwind,5.0806,170.3,34.1,710.0,31.596402371983206,33.51966303192537
,240.8,8.6337,08.08.2022,65.5,,3.0856,03:05:08,,GIN GLIDERS Puma,D,-91,7199,2043,Felix Figueroa 2022-08-08-XCT-FFI-02.igc,44.0,21:45:59,13:40:51,False,2131,5.6,-4.4,Felix Figueroa,14:08:04,211.0,88,18:40:51,2,Downwind,2.6319444444444446,60.5,,921.0,21.227638060668916,22.986807387862797
,346.66,15.3079,09.08.2022,105.86,,6.6742,06:40:27,,GIN GLIDERS Puma,D,-17,18526,2223,Felix Figueroa 2022-08-09-XCT-FFI-01.igc,44.0,23:25:07,11:44:40,False,2305,7.4,-4.8,Felix Figueroa,12:06:37,684.0,82,16:44:40,3,Rectangle,6.308333333333334,100.86,,1605.0,15.8610769830092,15.988375165125495
1304.0,365.64000000000004,17.1268,10.08.2022,18.98,,1.8189,01:49:08,,GIN GLIDERS Puma,D,-61,5729,2035,Felix Figueroa 2022-08-10-XCT-FFI-01.igc,44.0,19:53:48,13:04:40,False,2122,5.8,-4.8,Felix Figueroa,12:00:00,166.0,87,18:04:40,4,Out-and-Back(stopped),2.8966666666666665,13.98,,1771.0,10.434878223101876,4.826237054085156
,399.59000000000003,19.0529,11.08.2022,33.95,,1.9261,01:55:34,,GIN GLIDERS Puma,D,-60,5248,1727,Felix Figueroa 2022-08-11-XCT-FFI-01.igc,44.0,19:24:01,12:28:27,False,1808,6.2,-4.2,Felix Figueroa,13:11:43,246.0,81,17:28:27,5,Triangle,1.205,28.950000000000003,,2017.0,17.626291469809463,24.024896265560166
,486.73,22.1982,12.08.2022,87.14,14:24:36,3.1453,03:08:43,,GIN GLIDERS Puma,D,-71,7537,1780,Felix Figueroa 2022-08-12-XCT-FFI-01.igc,44.0,19:35:03,11:26:20,True,1856,5.2,-5.0,Felix Figueroa,11:57:07,601.0,76,16:26:20,6,Downwind,2.4581,82.14,34.6,2618.0,27.70482942803548,33.41605304910296
,529.98,23.5879,13.08.2022,43.25,,1.3897,01:23:23,,GIN GLIDERS Puma,D,-65,3801,1541,Felix Figueroa 2022-08-13-XCT-FFI-01.igc,44.0,18:30:30,12:07:07,False,1622,6.2,-4.0,Felix Figueroa,12:22:03,229.0,81,17:07:07,7,Downwind,1.1408333333333334,38.25,,2847.0,31.121824854285098,33.5281227173119
,175.3,5.5639,07.08.2022,175.3,17:32:37,5.5639,05:33:50,M,NKN,C,-164,13580,2167,Tom McCormick 2022-08-07_17_09_01.igc,45.0,22:43:08,12:09:18,True,2254,7.0,-4.8,Thomas Mccormick,12:27:33,709.0,87,17:09:18,1,Downwind,5.0844,170.3,34.1,709.0,31.506676971189275,33.49461096687909
,352.02,12.2375,08.08.2022,176.72,17:47:10,6.6736,06:40:25,,NKN,C,-260,18086,2407,Thomas McCormick 2022-08-08_16_23_05.igc,45.0,23:03:39,11:23:14,True,2490,6.2,-5.6,Thomas Mccormick,11:46:09,652.0,83,16:23:14,2,Downwind,6.0169,171.72,29.0,1361.0,26.48046032126588,28.539613422194154
,415.62,15.282800000000002,09.08.2022,63.6,,3.0453,03:02:43,,NKN,C,-39,7963,2058,Thomas McCormick 2022-08-09_18_18_42.igc,45.0,21:21:37,13:18:54,False,2141,5.8,-4.6,Thomas Mccormick,13:45:48,411.0,83,18:18:54,3,Rectangle,2.5969444444444445,58.6,,1772.0,20.88464190720126,22.564980211787358
921.0,432.29,17.330000000000002,10.08.2022,16.67,,2.0472,02:02:50,,NKN,C,-51,5805,1938,Tom McCormick 2022-08-10_17_53_27.igc,45.0,19:56:31,12:53:41,False,2023,5.2,-5.2,Thomas Mccormick,12:00:00,140.0,85,17:53:41,4,Out-and-Back(stopped),2.9419444444444443,11.670000000000002,,1912.0,8.142829230168035,3.966764233783402
,475.69,17.347800000000003,11.08.2022,43.4,,,00:01:04,,NKN,C,-35,7976,1853,Tom McCormick 2022-08-11_15_59_04.igc,45.0,16:01:48,11:00:44,False,1905,0.6,-0.6,Thomas Mccormick,12:32:15,314.0,52,16:00:44,5,Triangle,22.4925,38.4,,2226.0,0,1.7072357452484161
